#Table1
z,ra,dec
0.7802871,170.84198,-0.46440033
2.095613,170.60938,-0.088333778
0.8922874,170.79229,-0.16147522
0.206493,170.70837,0.50858531
1.363995,170.67195,0.33677546
1.171927,170.7957,0.62916471
0.7864704,171.02284,0.40058381
0.7867203,171.01771,0.21357439
3.606501,175.23671,-0.39164699
1.533613,175.25348,-0.31576384
1.053736,175.00622,1.0616014
1.136405,175.06949,0.89760804
0.4721933,174.84859,0.38378317
1.361609,179.99606,-0.53835792
0.1793873,180.05873,-0.77742639
3.567554,179.72028,-0.7172144
0.9310715,179.53529,-0.93127109
0.3459299,184.19425,-0.81448848
0.6852029,183.70829,-0.80988525
1.937863,184.00589,1.1727709
1.520698,183.96049,1.0132163
1.144146,184.23241,1.0806274
1.879144,184.37205,1.1989464
0.249666,183.65844,0.74195923
1.049719,183.85474,0.88804351
0.4535228,183.40447,-0.013069204
0.1849125,183.65697,0.47637372
1.173165,184.4758,0.94628939
0.7846041,184.1043,0.41530189
0.4569117,184.26633,0.27350343
2.112124,184.74486,0.89741133
0.9251733,184.65417,0.1226841
0.8849242,148.56975,0.13592029
1.062692,148.18988,0.0043093332
1.384028,148.34861,-0.63410067
0.8751809,147.77177,0.013687602
1.14837,147.75059,-1.0198861
1.8664,147.70202,-0.0049211228
0.1378086,147.87927,-0.50882584
0.3555079,147.31391,-0.98929375
0.2765018,153.42456,-0.15714263
1.890817,152.83313,-0.6959672
0.1530577,152.77141,-0.38680371
0.730498,152.5131,-0.22563445
0.2277851,152.56559,-1.010586
1.669927,152.63938,-0.79015212
1.562696,152.36013,-0.27243481
0.2143175,152.34051,-1.0003369
0.1384492,160.49358,-0.50143401
0.7713616,159.84302,-0.56778968
0.9573601,159.69885,-0.88918742
1.204183,159.77533,-0.095534221
1.220992,159.28034,-0.94329628
1.077066,159.5383,-0.60624369
1.05818,167.7734,-0.67734409
0.5433545,168.12971,-0.42618324
1.802212,167.16154,-0.92603789
1.330264,167.26353,-0.42907311
1.728926,166.86858,-0.85628012
1.170512,167.25678,-0.058406208
2.020725,167.12719,-0.092804079
0.9952227,166.6533,-1.2485032
2.110081,171.92466,-0.7556474
0.2845678,172.02385,-0.98083429
